seed=29
gen=56	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=57	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=58	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=59	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=60	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=61	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=62	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=63	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=64	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=65	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=66	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=67	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
