seed=6
gen=116	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=117	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=118	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=119	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=120	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=121	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=122	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=123	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=124	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=125	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=126	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=127	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=128	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=129	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=130	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=131	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=132	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=133	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=134	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=135	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=136	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=137	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
