seed=32
gen=65	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=66	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=67	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=68	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=69	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=70	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=71	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=72	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=73	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=74	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=75	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=76	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=77	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=78	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=79	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=80	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=81	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=82	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=83	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=84	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=85	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=86	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=87	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=88	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=89	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=90	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=91	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=92	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=93	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=94	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=95	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=96	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=97	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=98	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=99	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=100	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=101	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=102	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=103	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=104	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
