seed=23
gen=68	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=69	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=70	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=71	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=72	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=73	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=74	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=75	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=76	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=77	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=78	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=79	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=80	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=81	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=82	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=83	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=84	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=85	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=86	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=87	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=88	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=89	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=90	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=91	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=92	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=93	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
