seed=26
gen=129	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=130	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=131	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=132	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=133	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=134	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=135	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=136	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=137	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=138	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=139	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=140	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=141	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=142	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=143	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=144	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=145	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=146	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=147	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=148	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=149	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=150	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=151	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=152	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=153	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=154	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=155	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=156	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=157	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=158	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=159	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=160	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=161	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=162	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=163	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=164	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=165	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=166	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=167	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=168	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=169	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=170	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=171	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=172	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=173	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=174	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=175	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
