seed=2
gen=152	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=153	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=154	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=155	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=156	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=157	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=158	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=159	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=160	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=161	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=162	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=163	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=164	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=165	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=166	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=167	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=168	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=169	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=170	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=171	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=172	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=173	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=174	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=175	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=176	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=177	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=178	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=179	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=180	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=181	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=182	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=183	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=184	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=185	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=186	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=187	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=188	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=189	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=190	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=191	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=192	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=193	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=194	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=195	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=196	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=197	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=198	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=199	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=200	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=201	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=202	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=203	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=204	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=205	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=206	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=207	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=208	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=209	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=210	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=211	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=212	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=213	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=214	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=215	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=216	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=217	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=218	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=219	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=220	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=221	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=222	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=223	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=224	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=225	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=226	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=227	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=228	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=229	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=230	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=231	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=232	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=233	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=234	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=235	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=236	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=237	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=238	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=239	fitness=0.000008424558	position=[3.007110, 0.501888]
