seed=7
gen=187	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=188	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=189	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=190	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=191	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=192	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=193	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=194	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=195	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=196	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=197	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=198	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=199	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=200	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=201	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=202	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=203	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=204	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=205	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=206	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=207	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=208	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=209	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=210	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=211	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=212	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=213	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=214	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=215	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=216	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=217	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=218	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=219	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=220	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=221	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=222	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=223	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=224	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=225	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=226	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=227	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=228	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=229	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=230	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=231	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=232	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=233	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=234	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=235	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=236	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=237	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=238	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=239	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=240	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=241	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=242	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=243	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=244	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=245	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=246	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=247	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=248	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=249	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=250	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=251	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=252	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=253	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=254	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=255	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=256	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=257	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=258	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=259	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=260	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=261	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=262	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=263	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=264	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=265	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=266	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=267	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=268	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=269	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=270	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=271	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=272	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=273	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=274	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=275	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=276	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=277	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=278	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=279	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=280	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=281	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=282	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=283	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=284	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=285	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=286	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=287	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=288	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=289	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=290	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=291	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=292	fitness=0.000029881205	position=[2.987019, 0.496430]
gen=293	fitness=0.000029881205	position=[2.987019, 0.496430]
gen=294	fitness=0.000029881205	position=[2.987019, 0.496430]
gen=295	fitness=0.000027810946	position=[2.987019, 0.496904]
gen=296	fitness=0.000022661200	position=[2.989220, 0.496904]
gen=297	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=298	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=299	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=300	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=301	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=302	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=303	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=304	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=305	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=306	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=307	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=308	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=309	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=310	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=311	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=312	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=313	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=314	fitness=0.000019028703	position=[2.989220, 0.497220]
gen=315	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=316	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=317	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=318	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=319	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=320	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=321	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=322	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=323	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=324	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=325	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=326	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=327	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=328	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=329	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=330	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=331	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=332	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=333	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=334	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=335	fitness=0.000019007076	position=[2.989220, 0.497404]
gen=336	fitness=0.000017029105	position=[2.989758, 0.497404]
gen=337	fitness=0.000017029105	position=[2.989758, 0.497404]
