seed=32
gen=101	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=102	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=103	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=104	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=105	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=106	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=107	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=108	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=109	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=110	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=111	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=112	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=113	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=114	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=115	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=116	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=117	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=118	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=119	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=120	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=121	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=122	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=123	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=124	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=125	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=126	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=127	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
