seed=24
gen=49	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
gen=50	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
gen=51	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=52	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=53	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=54	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=55	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=56	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=57	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=58	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=59	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=60	fitness=12.201233909221	chromosome=0110011000001101100110101000101110010111111111000110011100100011100000001111111010011001100100011001101010100000100000010111000001100111101101100110100001110111	decoded=[-1.037906, 1.061813, 0.959468, -0.994468, 0.039766, 1.022750, 1.065094, 0.057579, -0.971499, -0.941342]
gen=61	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=62	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=63	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=64	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=65	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=66	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=67	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=68	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=69	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=70	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=71	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=72	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=73	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=74	fitness=11.887966951558	chromosome=1000000010111011100111000000100010011000001010101000000010000111011111011001100010011000001000001001100010101010100000000100100001100110101101110110010111111000	decoded=[0.029297, 1.121345, 0.966655, 0.021172, -0.096173, 0.965093, 0.986656, 0.011328, -1.011344, -1.041188]
gen=75	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=76	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=77	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=78	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=79	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=80	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=81	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=82	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=83	fitness=11.065759791786	chromosome=0110011000000101100110101000011110010111110101000110011100100101100000001111110110011001100100101001101000100010100000000100100001100110100101110110010111110100	decoded=[-1.039156, 1.061188, 0.953218, -0.994156, 0.039610, 1.022906, 1.045407, 0.011328, -1.016344, -1.041813]
gen=84	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=85	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=86	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=87	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=88	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=89	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=90	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=91	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=92	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=93	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=94	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=95	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=96	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
gen=97	fitness=9.202461392817	chromosome=0110011100011101100110101000001110010111111111000110011100100011100000001111110010011000001000001000000010101111100000000100100001100110001101110110011111111000	decoded=[-0.995406, 1.060563, 0.959468, -0.994468, 0.039454, 0.965093, 0.027422, 0.011328, -1.031344, -0.961187]
