seed=23
gen=32	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=33	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=34	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=35	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=36	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=37	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=38	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=39	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=40	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=41	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=42	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=43	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=44	fitness=12.688151409877	chromosome=0110011011010000011111100111010001111111001010000110100000100100100000001001001010000001000001000111110101001101100110111000111101111101101000100110100010110101	decoded=[-1.007437, -0.061798, -0.033672, -0.954311, 0.022891, 0.040704, -0.107892, 1.102439, -0.094611, -0.931655]
gen=45	fitness=12.203924419397	chromosome=0110011011110101010011101001011101111110101100011000000011011001100000010001001010011001110011110111111000010000100110000011011001100101111100111001100001110010	decoded=[-1.001656, -1.976358, -0.052266, 0.033985, 0.042891, 1.032438, -0.077423, 0.968530, -1.041969, 0.977906]
gen=46	fitness=12.203924419397	chromosome=0110011011110101010011101001011101111110101100011000000011011001100000010001001010011001110011110111111000010000100110000011011001100101111100111001100001110010	decoded=[-1.001656, -1.976358, -0.052266, 0.033985, 0.042891, 1.032438, -0.077423, 0.968530, -1.041969, 0.977906]
gen=47	fitness=12.203924419397	chromosome=0110011011110101010011101001011101111110101100011000000011011001100000010001001010011001110011110111111000010000100110000011011001100101111100111001100001110010	decoded=[-1.001656, -1.976358, -0.052266, 0.033985, 0.042891, 1.032438, -0.077423, 0.968530, -1.041969, 0.977906]
gen=48	fitness=12.203924419397	chromosome=0110011011110101010011101001011101111110101100011000000011011001100000010001001010011001110011110111111000010000100110000011011001100101111100111001100001110010	decoded=[-1.001656, -1.976358, -0.052266, 0.033985, 0.042891, 1.032438, -0.077423, 0.968530, -1.041969, 0.977906]
