seed=7
gen=58	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=59	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=60	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=61	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=62	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=63	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=64	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=65	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=66	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=67	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=68	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=69	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=70	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=71	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=72	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=73	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=74	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=75	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=76	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=77	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=78	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=79	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=80	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=81	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=82	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=83	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=84	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=85	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=86	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=87	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=88	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=89	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=90	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=91	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=92	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=93	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=94	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=95	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=96	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=97	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=98	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=99	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=100	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=101	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=102	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=103	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=104	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=105	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=106	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=107	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=108	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=109	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=110	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=111	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
