seed=3
gen=71	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=72	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=73	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=74	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=75	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=76	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=77	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=78	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=79	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=80	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=81	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=82	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=83	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=84	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=85	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=86	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=87	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=88	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=89	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=90	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=91	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=92	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=93	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=94	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
