seed=11
gen=39	fitness=15.570363252346	position=[-1.022795, 1.049988, 1.047703, 1.058025, -0.944101, 2.027801, -0.989643, -0.966321, -0.968019, -0.047717]
gen=40	fitness=15.570363252346	position=[-1.022795, 1.049988, 1.047703, 1.058025, -0.944101, 2.027801, -0.989643, -0.966321, -0.968019, -0.047717]
gen=41	fitness=14.895212859691	position=[-1.027174, 1.005636, 0.994442, 1.042825, -0.970260, 2.039379, -1.001891, -0.946446, -0.960587, -0.070380]
gen=42	fitness=14.895212859691	position=[-1.027174, 1.005636, 0.994442, 1.042825, -0.970260, 2.039379, -1.001891, -0.946446, -0.960587, -0.070380]
gen=43	fitness=14.895212859691	position=[-1.027174, 1.005636, 0.994442, 1.042825, -0.970260, 2.039379, -1.001891, -0.946446, -0.960587, -0.070380]
gen=44	fitness=14.791265340776	position=[-1.020811, 0.981103, 0.978138, 1.023170, -0.993801, 1.993587, -1.016834, -0.933036, -0.955672, -0.082430]
gen=45	fitness=14.791265340776	position=[-1.020811, 0.981103, 0.978138, 1.023170, -0.993801, 1.993587, -1.016834, -0.933036, -0.955672, -0.082430]
gen=46	fitness=14.712630064753	position=[-1.025841, 0.996598, 1.002836, 1.029982, -0.973824, 2.008208, -0.996694, -0.952769, -0.959087, -0.090149]
gen=47	fitness=14.453512105559	position=[-1.024771, 1.013903, 1.012786, 1.060456, -0.976525, 1.997661, -1.012495, -0.964545, -0.963154, -0.065498]
gen=48	fitness=14.453512105559	position=[-1.024771, 1.013903, 1.012786, 1.060456, -0.976525, 1.997661, -1.012495, -0.964545, -0.963154, -0.065498]
gen=49	fitness=14.453512105559	position=[-1.024771, 1.013903, 1.012786, 1.060456, -0.976525, 1.997661, -1.012495, -0.964545, -0.963154, -0.065498]
gen=50	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=51	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=52	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=53	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=54	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=55	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=56	fitness=11.627129049850	position=[-1.013246, 1.043230, 1.050555, 1.070665, -0.968216, -0.018304, -1.015766, -0.967280, -0.966081, -0.064003]
gen=57	fitness=10.313801955444	position=[-1.041947, 1.038583, 1.051879, 0.986329, -0.965156, -0.020372, -1.020941, -0.957914, -0.987560, -0.033119]
gen=58	fitness=10.313801955444	position=[-1.041947, 1.038583, 1.051879, 0.986329, -0.965156, -0.020372, -1.020941, -0.957914, -0.987560, -0.033119]
gen=59	fitness=10.313801955444	position=[-1.041947, 1.038583, 1.051879, 0.986329, -0.965156, -0.020372, -1.020941, -0.957914, -0.987560, -0.033119]
gen=60	fitness=10.313801955444	position=[-1.041947, 1.038583, 1.051879, 0.986329, -0.965156, -0.020372, -1.020941, -0.957914, -0.987560, -0.033119]
gen=61	fitness=10.313801955444	position=[-1.041947, 1.038583, 1.051879, 0.986329, -0.965156, -0.020372, -1.020941, -0.957914, -0.987560, -0.033119]
gen=62	fitness=9.869632511630	position=[-1.012632, 1.014011, 0.989555, 0.989583, -0.981074, -0.082882, -0.994450, -1.004801, -0.984349, -0.042264]
gen=63	fitness=9.869632511630	position=[-1.012632, 1.014011, 0.989555, 0.989583, -0.981074, -0.082882, -0.994450, -1.004801, -0.984349, -0.042264]
gen=64	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=65	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=66	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=67	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=68	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=69	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=70	fitness=9.134291417124	position=[-1.004243, 1.023306, 1.020105, 1.003486, -0.984497, 0.014438, -0.993287, -0.969985, -0.963650, -0.049302]
gen=71	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=72	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=73	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=74	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=75	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=76	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=77	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=78	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=79	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=80	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=81	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=82	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=83	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=84	fitness=8.948592214288	position=[-1.001825, 1.013067, 1.019160, 0.996782, -0.981671, -0.019572, -1.003987, -0.960903, -0.968761, -0.039413]
gen=85	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
gen=86	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
gen=87	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
gen=88	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
