seed=10
gen=59	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=60	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=61	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=62	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=63	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=64	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=65	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=66	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=67	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=68	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=69	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=70	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=71	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=72	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=73	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=74	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=75	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=76	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=77	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=78	fitness=25.336284767527	position=[-1.023004, -0.997142, -0.979525, 0.971047, 0.989527, -0.001545, -0.970631, 0.996595, -2.975960, -2.979316]
gen=79	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=80	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=81	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=82	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=83	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=84	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=85	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=86	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=87	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=88	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=89	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=90	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=91	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=92	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=93	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=94	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=95	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=96	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=97	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=98	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=99	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=100	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=101	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=102	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=103	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=104	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
