seed=4
gen=25	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=26	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=27	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=28	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=29	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=30	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=31	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=32	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=33	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=34	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=35	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=36	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=37	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=38	fitness=18.969605407600	position=[-1.017267, -0.043848, 0.020989, -1.037593, -0.067444, 1.976849, -1.009978, -0.076663, -2.993386, -0.001347]
gen=39	fitness=18.001245596896	position=[-1.020314, -0.064401, -0.008149, -1.035683, -0.017030, 1.956863, -0.965917, -0.029105, -2.975097, 0.029895]
gen=40	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=41	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=42	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=43	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=44	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=45	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=46	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=47	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=48	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=49	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=50	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=51	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
