seed=9
gen=63	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=64	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=65	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=66	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=67	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=68	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=69	fitness=15.894412728674	position=[-1.054651, 0.024683, 1.038253, 1.030416, 1.956215, -0.845120, 0.026578, 1.059382, 0.023671, -0.024350]
gen=70	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=71	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=72	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=73	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=74	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=75	fitness=14.500930725165	position=[-1.040109, 0.009643, 1.019803, 1.071225, 1.962701, -0.884818, 0.033705, 1.060378, -0.038503, -0.018475]
gen=76	fitness=12.730802454957	position=[-0.989165, 0.048674, 0.982042, 1.035590, 1.917070, -0.935643, 0.027067, 1.035116, -0.003579, -0.062610]
gen=77	fitness=12.730802454957	position=[-0.989165, 0.048674, 0.982042, 1.035590, 1.917070, -0.935643, 0.027067, 1.035116, -0.003579, -0.062610]
gen=78	fitness=12.730802454957	position=[-0.989165, 0.048674, 0.982042, 1.035590, 1.917070, -0.935643, 0.027067, 1.035116, -0.003579, -0.062610]
gen=79	fitness=12.730802454957	position=[-0.989165, 0.048674, 0.982042, 1.035590, 1.917070, -0.935643, 0.027067, 1.035116, -0.003579, -0.062610]
gen=80	fitness=12.730802454957	position=[-0.989165, 0.048674, 0.982042, 1.035590, 1.917070, -0.935643, 0.027067, 1.035116, -0.003579, -0.062610]
