seed=109
gen=21	fitness=1051.224174948725	tour=[93, 92, 91, 90, 80, 70, 60, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 18, 17, 27, 37, 36, 46, 47, 48, 58, 68, 78, 88, 87, 77, 67, 57, 56, 55, 65, 75, 85, 86, 76, 66, 64, 54, 53, 43, 33, 34, 44, 45, 35, 25, 24, 23, 22, 12, 13, 14, 15, 16, 26, 38, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 94, 84, 74, 73, 72, 62, 63, 52, 51, 41, 31, 21, 11, 32, 42, 61, 71, 81, 82, 83]
gen=22	fitness=1051.224174948725	tour=[93, 92, 91, 90, 80, 70, 60, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 18, 17, 27, 37, 36, 46, 47, 48, 58, 68, 78, 88, 87, 77, 67, 57, 56, 55, 65, 75, 85, 86, 76, 66, 64, 54, 53, 43, 33, 34, 44, 45, 35, 25, 24, 23, 22, 12, 13, 14, 15, 16, 26, 38, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 94, 84, 74, 73, 72, 62, 63, 52, 51, 41, 31, 21, 11, 32, 42, 61, 71, 81, 82, 83]
gen=23	fitness=1051.224174948725	tour=[93, 92, 91, 90, 80, 70, 60, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 18, 17, 27, 37, 36, 46, 47, 48, 58, 68, 78, 88, 87, 77, 67, 57, 56, 55, 65, 75, 85, 86, 76, 66, 64, 54, 53, 43, 33, 34, 44, 45, 35, 25, 24, 23, 22, 12, 13, 14, 15, 16, 26, 38, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 94, 84, 74, 73, 72, 62, 63, 52, 51, 41, 31, 21, 11, 32, 42, 61, 71, 81, 82, 83]
gen=24	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=25	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=26	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=27	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=28	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=29	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=30	fitness=1038.125592000413	tour=[61, 71, 81, 82, 83, 84, 74, 64, 63, 62, 52, 51, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 48, 47, 46, 45, 35, 36, 37, 27, 17, 18, 28, 38, 39, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 44, 54, 55, 56, 66, 67, 57, 58, 68, 78, 88, 87, 77, 76, 86, 85, 75, 65, 53, 43, 42, 73, 72]
gen=31	fitness=1037.082039324994	tour=[54, 44, 45, 46, 47, 48, 38, 37, 27, 17, 18, 28, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 39, 58, 68, 78, 88, 87, 77, 76, 86, 85, 84, 83, 82, 81, 71, 61, 51, 52, 53, 43, 42, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 35, 36, 57, 67, 66, 56, 55, 65, 75, 74, 64, 63, 62, 72, 73]
gen=32	fitness=1037.082039324994	tour=[54, 44, 45, 46, 47, 48, 38, 37, 27, 17, 18, 28, 29, 19, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 69, 59, 49, 39, 58, 68, 78, 88, 87, 77, 76, 86, 85, 84, 83, 82, 81, 71, 61, 51, 52, 53, 43, 42, 41, 31, 21, 11, 12, 22, 32, 33, 23, 13, 14, 15, 16, 26, 25, 24, 34, 35, 36, 57, 67, 66, 56, 55, 65, 75, 74, 64, 63, 62, 72, 73]
